#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
MAPMODE_DUCHIES;§YDe Jure Sectors§!;§YDuchés de jure§!;§YDe Jure-Herzogtümer§!;;§YDucados de iure§!;;;;;;;;;x
MAPMODE_DUCHIES_DESC;This map mode shows the various sectors of the Known Worlds. Sector governments will strive to gain control of all worlds in their sector.;Ce mode de carte affiche tous les duchés géographiques et traditionnels (de Jure) d’Europe.;Dieser Kartenmodus zeigt alle geografischen und traditionellen (rechtmäßigen) Herzogtümer Europas.;;Este modo de mapa muestra todos los ducados geográficos y tradicionales (de iure) de Europa.;;;;;;;;;x
MAPMODE_KINGDOMS;§YDe Jure Regions§!;§YRoyaumes de jure§!;§YDe Jure-Königreiche§!;;§YReino de iure§!;;;;;;;;;x
MAPMODE_KINGDOMS_DESC;This map mode shows the various traditional regions of the Known Worlds. Regional governments will strive to gain control of all worlds in their region.;Ce mode de carte affiche tous les royaumes géographiques et traditionnels (de Jure) d’Europe.;Dieser Kartenmodus zeigt alle geografischen und traditionellen (rechtmäßigen) Königreiche Europas.;;Este modo de mapa muestra todos los reinos geográficos y tradicionales (de iure) de Europa.;;;;;;;;;x
MAPMODE_DEFACTO_COUNTIES;§YSystems§!;§YComtes§!;§YGrafen§!;;§YCondes§!;;;;;;;;;x
MAPMODE_DEFACTO_COUNTIES_DESC;This map mode shows all autonomous systems.;Ce mode de carte affiche tous les comtes.;Dieser Kartenmodus zeigt alle Grafen.;;Este mapa muestra todos los condes.;;;;;;;;;x
MAPMODE_DEFACTO_DUCHIES;§YSectors§!;§YDucs§!;§YHerzöge§!;;§YDuques§!;;;;;;;;;x
MAPMODE_DEFACTO_DUCHIES_DESC;This map mode shows all autonomous sectors.;Ce mode de carte affiche tous les ducs.;Dieser Kartenmodus zeigt alle Herzöge.;;Este mapa muestra todos los duques.;;;;;;;;;x
MAPMODE_DEFACTO_KINGDOMS;§YRegions§!;§YRois§!;§YKönige§!;;§YReyes§!;;;;;;;;;x
MAPMODE_DEFACTO_KINGDOMS_DESC;This map mode shows all autonomous regions.;Ce mode de carte affiche tous les rois.;Dieser Kartenmodus zeigt alle Könige.;;Este mapa muestra todos los reyes.;;;;;;;;;x
TOO_MANY_HELD_DUCHIES;Too Many Held Sectors;Trop de Duchés possédés;Zuviele Herzogtümer in Besitz;;Demasiados Ducados mantenidos.;;;;;;;;;x
TITLE_CREATION_REQ_DUCHIES;You need to hold at least §Y$DUCHIES$§! Sectors.;Vous devez détenir au moins §Y$DUCHIES$§! titres ducaux.;Ihr müsst mindestens den §Y$DUCHIES$§! Herzogtums-Titel innehaben.;;Tienes que poseer al menos §Y$DUCHIES$§! títulos de Duque;;;;;;;;;x
TRIGGER_COUNTY;System;Comté;Grafschaft;;Condado;;;;;;;;;x
TRIGGER_DUCHY;Sector;Duché;Herzogtum;;Ducado;;;;;;;;;x
TRIGGER_KINGDOM;Region;Royaume;Königreich;;Reino;;;;;;;;;x
DE_JURE_DUCHY_DESC;The §Y$PROVINCE$§W is traditionally considered a part of the §Y$DUCHY$§W. ;La province de §Y$PROVINCE$§W fait traditionnellement partie du §Y$DUCHY$§W. ;Die §Y$PROVINCE$§W wird traditionell als Teil des §Y$DUCHY$§W angesehen. ;;La provincia de §Y$PROVINCE$§W se considera, por tradición, parte del ducado de §Y$DUCHY$§W.;;;;;;;;;x
DE_JURE_DUCHY_DESC_NO_HOLDER;Currently, there is no sector-wide government.;Actuellement, ce duché n’est détenu par personne.;Momentan ist dieses Herzogtum in niemandes Besitz.;;Este ducado no tiene propietario en estos momentos.;;;;;;;;;x
DE_JURE_DUCHY_DESC_HOLDER_1;§Y$DUKE$§W controls the sector government, and also controls the §Y$PROVINCE$§W System.;§Y$DUKE$§W est le duc actuel et contrôle, de facto, la province de §Y$PROVINCE$§W.;§Y$DUKE$§W ist der derzeitige Herzog und kontrolliert auch de facto §Y$PROVINCE$§W.;;§Y$DUKE$§W es el duque actual y dirigente de facto de §Y$PROVINCE$§W.;;;;;;;;;x
DE_JURE_DUCHY_DESC_HOLDER_2;§Y$DUKE$§W controls the sector government, and will strive to gain control of the §Y$PROVINCE$§W System.;§Y$DUKE$§W est le duc actuel et se battra pour reprendre le contrôle de la province de §Y$PROVINCE$§W.;§Y$DUKE$§W ist der derzeitige Herzog, der sich bemüht, die Kontrolle über §Y$PROVINCE$§W wiederzuerlangen.;;§Y$DUKE$§W es el duque actual, que intentará retomar el control de §Y$PROVINCE$§W.;;;;;;;;;x
CB_NAME_RELIGIOUS;Holy War for the [Title.GetBaseName] Sector;Guerre Sainte pour [Title.GetName];Heiliger Krieg um [Title.GetBaseName];;Guerra Santa por [Title.GetBaseName];;;;;;;;;x
WAR_NAME_RELIGIOUS;$ORDER$$FIRST_ADJ$ Holy War for the $OTHER_TITLE$ Sector;$ORDER$ Guerre Sainte $FIRST_ADJ$ pour : $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ Heiliger Krieg um $OTHER_TITLE$;;$ORDER$ Guerra Santa $FIRST_ADJ$ por $OTHER_TITLE$;;;;;;;;;x
CB_NAME_COUNTY_CONQUEST;Conquest of the [Title.GetBaseName] System;Conquête du titre de [Title.GetBaseName];Die Eroberung von [Title.GetBaseName];;Conquista del [Title.GetBaseName];;;;;;;;;x;
WAR_NAME_COUNTY_CONQUEST;$ORDER$$FIRST_ADJ$ Conquest of the $OTHER_TITLE$ System;$ORDER$$FIRST_ADJ$ Conquête de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ Eroberung von $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$ conquista $OTHER_TITLE$;;;;;;;;;x;
CB_NAME_DEJURECLAIM;De Jure Claim on [Title.GetBaseName];Revendication de Jure du [Title.GetName];De jure Anspruch auf [Title.GetBaseName];;Reclamar el [Title.GetBaseName] de facto;;;;;;;;;x
WAR_NAME_DEJURECLAIM;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ De Jure War for the $OTHER_TITLE$ System;$ORDER$ Guerre $FIRST_ADJ$-$SECOND_ADJ$ de Jure contre $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ De jure Krieg über $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ de facto guerra sobre $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_DEJUREDUCHYCLAIM;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ De Jure War for the $OTHER_TITLE$ Sector;$ORDER$ Guerre $FIRST_ADJ$-$SECOND_ADJ$ de Jure contre $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ De jure Krieg über $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ de facto guerra sobre $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_OTHER_DEJURECLAIM;$ORDER$$FIRST_ADJ$ De Jure War for $CLAIMANT$'s Claim to the $OTHER_TITLE$ System;$ORDER$ Guerre ducale $FIRST_ADJ$ de $CLAIMANT$ pour : $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ Herzogskrieg um $CLAIMANT$s Anspruch auf $OTHER_TITLE$;;$ORDER$Guerra Ducal $FIRST_ADJ$ por la reclamación de $CLAIMANT$ sobre $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_OTHER_DEJUREDUCHYCLAIM;$ORDER$$FIRST_ADJ$ De Jure War for $CLAIMANT$'s Claim to the $OTHER_TITLE$ Sector;$ORDER$ Guerre ducale $FIRST_ADJ$ de $CLAIMANT$ pour : $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ Herzogskrieg um $CLAIMANT$s Anspruch auf $OTHER_TITLE$;;$ORDER$Guerra Ducal $FIRST_ADJ$ por la reclamación de $CLAIMANT$ sobre $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_OTHER_DEJUREBARONYCLAIM;$ORDER$$FIRST_ADJ$ De Jure War for $CLAIMANT$'s Claim to $OTHER_TITLE$;$ORDER$ Guerre comtale $FIRST_ADJ$ de $CLAIMANT$ pour revendiquer : $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ Grafschaftskrieg um $CLAIMANT$s Anspruch auf $OTHER_TITLE$;;$ORDER$Guerra Condal $FIRST_ADJ$ por la reclamación de $CLAIMANT$ sobre $OTHER_TITLE$;;;;;;;;;x
CB_NAME_DEJUREBARONYCLAIM;System Claim on [Title.GetBaseName];Revendication comtale sur [Title.GetName];Gräflicher Anspruch auf [Title.GetBaseName];;Reclamación Condal sobre [Title.GetBaseName];;;;;;;;;x
WAR_NAME_DEJUREBARONYCLAIM;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ De Jure War for $OTHER_TITLE$;$ORDER$ Guerre comtale $FIRST_ADJ$-$SECOND_ADJ$ pour : $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Grafenkrieg über $OTHER_TITLE$;;$ORDER$ Guerra Condal $FIRST_ADJ$-$SECOND_ADJ$ por $OTHER_TITLE$;;;;;;;;;x
ANY_ALL;Deep Space;Deep Space;Deep Space;;Deep Space;;;;;;;;;x
STRAITS;Jump Gate across §Y$SEA$§W to §Y$PROV$§W;Détroit §Y$SEA$§W vers §Y$PROV$§W;Meerenge über §Y$SEA$§W nach §Y$PROV$§W;;Canal a través del §Y$SEA$§W hasta §Y$PROV$§W;;;;;;;;;x
STRAITSDESC;The Jump Network is the primary form of faster-than-light travel in the Known Worlds. Each Jump Gate consists of a traversible Einstein-Rosen bridge, stabilized by a core of exotic matter. They allow non-hyperspace-capable ships to travel between connected systems.;Les armées peuvent franchir des détroits sans recourir à des flottes. En cas d’attaque survenant dans un détroit, l’armée attaquante aura un sérieux handicap.;Meerengen können von Armeen ohne die Hilfe von Flotten überquert werden. Beim Angriff über eine Meerenge erleidet die angreifende Armee beträchtliche Kampfabzüge;;Los ejércitos pueden cruzar los canales sin recurrir a las flotas. Al atacar por un canal, el ejército atacante obtendrá una penalización de combate significativa.;;;;;;;;;x
RIVERS;Jump Gate across the edge of a nebula to §Y$PROV$§W;Une rivière coule entre cette province et §Y$PROV$§W;Ein Fluss fließt zwischen dieser Provinz und §Y$PROV$§W;;Un río comunica esta provincia con §Y$PROV$§W.;;;;;;;;;x
RIVERSDESC;Hyperspace navigation in nebulae is very difficult. Jump Gates are the only way to enter or leave them safely.;En cas d’attaque sur une rivière, l’armée attaquante aura un sérieux handicap.;Beim Angriff über einen Fluss erleidet die angreifende Armee einen Kampfabzug;;Al atacar por el río, el ejército atacante obtendrá una penalización de combate.;;;;;;;;;x
homosexual_desc;This character is sexually attracted to people of the same sex.;;;;;;;;;;;;;x
MIL_ARMIES;Fleets;Flottes;Flotten;;Flotas;;;;;;;;;x
MIL_NAVIES;Hyperspace Fleets;Flottes;Flotten;;Flotas;;;;;;;;;x
L_INF;F;;;;;;;;;;;;;x
H_INF;B;;;;;;;;;;;;;x
PIKE;D;;;;;;;;;;;;;x
L_CAV;DD;;;;;;;;;;;;;x
H_CAV;BC;;;;;;;;;;;;;x
ARCH;TT;;;;;;;;;;;;;x
H_ARCH;DN;;;;;;;;;;;;;x
GALL;G;G;G;;G;;;;;;;;;x
LEDGER_INDSTATE_ARMY;Fleet;;;;;;;;;;;;;x
REGIMENT;Squadron;Squadron;Squadron;;Squadron;;;;;;;;;x
FLEET;Deep Space Fleet;Flotte;Flotte;;Flota;;;;;;;;;x
ARMY;Fleet;Flotte;Flotte;;Flota;;;;;;;;;x
ARMY_NAME;$NAME$'s Fleet;Flotte de $NAME$;Flotte von $NAME$;;Flota de $NAME$;;;;;;;;;x
FLEET_NAME;$NAME$ Hyperspace Fleet;Flotte de $NAME$;$NAME$ Flotte;;Flota de $NAME$;;;;;;;;;x
ARMY_NAME_noculturegroup;$NUM$$ORDER$ Fleet;$NUM$$ORDER$ Flotte;$NUM$$ORDER$ Flotte;;$NUM$$ORDER$ Flota;$NUM$$ORDER$ flotta;;;;;;;;;x
NAVY_NAME_noculturegroup;$NUM$$ORDER$ Hyperspace Fleet;$NUM$$ORDER$ Flotte;$NUM$$ORDER$ Flotte;;$NUM$$ORDER$ Flota;$NUM$$ORDER$ flotta;;;;;;;;x
REGIMENT_NAME_noculturegroup;$HOME$'s $NUM$$ORDER$ Squadron;;;;;;;;;;;;x
COMBATVIEW_PHASE_DESC_SKIRMISH;During the Skirmish phase, the main fleets keep their distance while fighters engage in dogfights.\nSmall ships are at their most vulnerable during this phase, but only ｧYFightersｧW, ｧYDestroyersｧW, and ｧYCombat DronesｧW are able to attack and exploit this.;Au cours de la phase de combat, les principales flottilles gardent leur distance tandis que les chasseurs engage l'ennemi.\nLes petits navires sont les plus vuln�rables durant cette phase, mais seuls ｧYles chasseursｧW, ｧYles estroyeursｧW, et ｧYles dr�nes de combat��W sont capables d'attaquer et d'exploiter cette faille.;;;;;;;;;;;;x
COMBATVIEW_PHASE_DESC_MELEE;During the Melee phase, the fleets close to combat distance.\nｧYBattlecruisersｧW, ｧYDreadnoughtsｧW, and ｧYBombersｧW excel in the Melee Phase.;Pendant la phase de m�l�e, les flottilles entrent dans le combat � distance.\nｧYles croiseurs de batailleｧW, ｧYles cuiras�sｧW, et ｧYles bombardiersｧW excellent dans ces op�rations.;;;;;;;;;;;;x
COMBATVIEW_PHASE_DESC_PURSUE;During the Pursuit phase, one fleet is retreating, and the other is attempting to chase them down.\nｧYBattlecruisersｧW, ｧYBombersｧW, and ｧYTroop TransportsｧW excel in the Pursuit Phase.;Pendant la phase de poursuite, une flotille se replie, et les autres tentent de lui donner la chasse.\nｧYles croiseurs de batailleｧW, ｧYles bombardiersｧW, et ｧYles transport de troupesｧW excellent dans ces op�rations.;;;;;;;;;;;;x
LIGHT_INFANTRY;Fighters;Chasseurs;;;;;;;;;;;;x
LIGHT_INFANTRY_MORALE;Fighter Pilot Morale;Moral pilote de chasseur;;;;;;;;;;;;x
LIGHT_INFANTRY_DISCIPLINE;Fighter Squadron Discipline;Discipline escadron de chasseurs;;;;;;;;;;;;x
LIGHT_INFANTRY_OFFENSIVE_FIRE;Fighter Attack;Attaque chasseur;;;;;;;;;;;;x
LIGHT_INFANTRY_DEFENSIVE_FIRE;Fighter Defense;D�fense chasseur;;;;;;;;;;;;x
HEAVY_INFANTRY;Bombers;Bombardiers;;;;;;;;;;;;x
HEAVY_INFANTRY_MORALE;Bomber Pilot Morale;Moral pilote de bombardier;;;;;;;;;;;;x
HEAVY_INFANTRY_DISCIPLINE;Bomber Squadron Discipline;Discipline escadron de bombardier;;;;;;;;;;;;x
HEAVY_INFANTRY_OFFENSIVE_FIRE;Bomber Attack;Attaque bombardier;;;;;;;;;;;;x
HEAVY_INFANTRY_DEFENSIVE_FIRE;Bomber Defense;D�fense bombardier;;;;;;;;;;;;x
PIKEMEN;Combat Drones;Dr�nes de combat;;;;;;;;;;;;x
PIKEMEN_MORALE;Combat Drone Morale;Moral dr�ne de combat;;;;;;;;;;;;x
PIKEMEN_DISCIPLINE;Combat Drone Discipline;Discipline dr�ne de combat;;;;;;;;;;;;x
PIKEMEN_OFFENSIVE_FIRE;Combat Drone Attack;Attaque dr�ne de combat;;;;;;;;;;;;x
PIKEMEN_DEFENSIVE_FIRE;Combat Drone Defense;D�fense dr�ne de combat;;;;;;;;;;;;x
LIGHT_CAVALRY;Destroyers;Destroyers;;;;;;;;;;;;x
LIGHT_CAVALRY_MORALE;Destroyer Crew Morale;Moral �quipage de destroyer;;;;;;;;;;;;x
LIGHT_CAVALRY_DISCIPLINE;Destroyer Crew Discipline;Discipline �quipage de destroyer;;;;;;;;;;;;x
LIGHT_CAVALRY_OFFENSIVE_FIRE;Destroyer Attack;Attaque destroyer;;;;;;;;;;;;x
LIGHT_CAVALRY_DEFENSIVE_FIRE;Destroyer Defense;D�fense destroyer;;;;;;;;;;;;x
KNIGHTS;Battlecruisers;Croiseurs de bataille;;;;;;;;;;;;x
KNIGHTS_MORALE;Battlecruiser Crew Morale;Moral �quipage croiseur de bataille;;;;;;;;;;;;x
KNIGHTS_DISCIPLINE;Battlecruiser Crew Discipline;Discipline �quipage croiseur de bataille;;;;;;;;;;;;x
KNIGHTS_OFFENSIVE_FIRE;Battlecruiser Attack;Attaque croiseur de bataille;;;;;;;;;;;;x
KNIGHTS_DEFENSIVE_FIRE;Battlecruiser Defense;D�fense croiseur de bataille;;;;;;;;;;;;x
DREADNOUGHTS;Dreadnoughts;Cuirass�s;;;;;;;;;;;;x
DREADNOUGHTS_MORALE;Dreadnought Crew Morale;Moral �quipage de cuirass�;;;;;;;;;;;;x
DREADNOUGHTS_DISCIPLINE;Dreadnought Crew Discipline;Discipline �quipage de cuirass�;;;;;;;;;;;;x
DREADNOUGHTS_OFFENSIVE_FIRE;Dreadnought Attack;Attaque cuirass�;;;;;;;;;;;;x
DREADNOUGHTS_DEFENSIVE_FIRE;Dreadnought Defense;D�fense cuirass�;;;;;;;;;;;;x
ARCHERS;Troop Transports;Transport de troupes;;;;;;;;;;;;x
ARCHERS_MORALE;Marine Morale;Moral marines;;;;;;;;;;;;x
ARCHERS_DISCIPLINE;Marine Discipline;Discipline marines;;;;;;;;;;;;x
