#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_ibc;Intergalactic Banking Consortium;Consortium bancaire intergalactique;Intergalaktisches Bankenkonsortium;;;;;;;;;;;x
k_ibc_ADJ;Intergalactic Banking Consortium;Consortium bancaire intergalactique;;;;;;;;;;;;x
ibctitle;Chief Executive;Chef de la direction;Vorstandschef;;Director ejecutivo;;;;;;;;;;;;x
ibctitle_foa;Chief Executive;Chef de la direction;Vorstandschef;;Director ejecutivo;;;;;;;;;;;;x
###;#;#;#;;#;;;;;;;;;x
borrow_money_ibc;Borrow 300¤ from IBC;Emprunter 300¤ à IBC;Leiht 300¤ von IBC;;Tomar prestado 300¤ de comerciantes judíos;;;;;;;;;x
borrow_money_ibc_desc;I can borrow 300¤ from the Intergalactic Banking Consortium. With the interest agreed upon, I will owe them 350¤ to be paid back at my convenience.;Je peux emprunter 300¤ par le Consortium bancaire intergalactique. Au taux d'intérêt convenu, je leur devrai 350¤ que je paierai quand je le voudrai.;Ich kann 300¤ beim Intergalaktischen Bankenkonsortium leihen. Gemäß des vereinbarten Zinses werde ich 350¤ zu gegebener Zeit zurückzahlen müssen.;;Puedo tomar prestado 300¤ de comerciantes judíos y prestamistas que viven en el reino. Con el interés acordado, debo 350¤ a devolver cuando me convenga.;;;;;;;;;x
borrowed_from_ibc;Owes 350¤ to IBC;Doit 350¤ à IBC;Schuldet IBC 350¤;;Debe 350¤ a prestamistas judíos;;;;;;;;;x
repay_money_ibc;Repay the 350¤ loan;Rembourser l'emprunt de 350¤;Den Kredit von 350¤ zurückzahlen;;Devolver el préstamo de 350¤;;;;;;;;;x
repay_money_ibc_desc;I will repay the gold that I owe the IBC.;Je rembourserai la somme que je dois à IBC.;Ich werde das Geld, das ich den Geldverleihern schulde, zurückzahlen.;;Devolveré el oro que debo a los prestamistas judíos.;;;;;;;;;x
welcome_ibc;Welcome the IBC;Accueillir les IBC;Heißen Sie die IBC willkommen;;Recibir a los judíos;;;;;;;;;x
welcome_ibc_desc;IBC will be welcomed back into the realm with open arms, enjoying the same rights and liberties as your other citizens.;Les juifs seront accueillis à bras ouverts dans le royaume et bénéficieront des mêmes droits et des mêmes libertés que vos autres citoyens.;Die Juden werden wieder mit offenen Armen in Ihrem Reich empfangen und genießen dieselben Rechte und Freiheiten wie Ihre übrigen Bürger.;;Los judíos serán readmitidos en el reino con los brazos abiertos, con los mismos derechos y libertades que los demás ciudadanos.;;;;;;;;;x
expel_ibc;Expel the Bankers;Expulser les banquiers;Vertreiben Sie die Banker;;Expulsar a la judería;;;;;;;;;x
expel_ibc_desc;IBC will be expelled from the realm. Loans you have taken from IBC are forfeit and will not need to be repaid, but IBC will not return for many years.;Tous les juifs seront expulsés du royaume. Les emprunts que vous avez contractés auprès des prêteurs juifs seront annulés et ne devront pas être remboursés, mais les juifs ne reviendront pas avant de nombreuses années.;IBC wird aus dem Reich vertrieben. Darlehen verfallen und müssen nicht zurückgezahlt werden und die IBC wird viele Jahre lang nicht zrückkehren.;;Todos los judíos serán expulsados del reino. Los préstamos recibidos de los prestamistas judíos se cancelarán y no será necesario devolverlos, porque los judíos no regresarán durante muchos años.;;;;;;;;;x
ibc_are_expelled;IBC are expelled from the realm.;IBC sont expulsés du royaume.;IBC wird aus dem Reich vertrieben.;;Todos los judíos son expulsados del reino.;;;;;;;;;x
ibc_are_welcome;IBC are welcomed back into the realm.;IBC sont à nouveau les bienvenus dans le royaume.;Die Juden kehren ins Reich zurück und werden willkommen geheißen.;;Los judíos son readmitidos en el reino.;;;;;;;;;x
expelled_ibc;Expelled IBC;IBC expulsés;Vertriebene IBC;;Judíos expulsados;;;;;;;;;x
###;#;#;#;;#;;;;;;;;;x
EVTDESC_IBC_105;You have decided to expel all Jews from your realm. After your guards round the Jewry up, they are forced to depart in yet another large exodus for lands more friendly to their kind. They are allowed to keep many of their belongings, but you confiscate much of their gold.;Vous avez décidé d'expulser tous les juifs de votre royaume. Une fois les juifs rassemblés par vos gardes, ils sont contraints à connaître un nouvel exode de masse vers des terres plus accueillantes pour eux. Ils ont le droit d'emporter avec eux un grand nombre de leurs possessions. Cependant, vous confisquez une grande partie de leur or.;Ihr habt beschlossen, alle Juden aus Eurem Reich zu vertreiben. Nachdem Eure Wachen alle jüdischen Bewohner zusammengetrieben haben, müssen diese abermals einen Exodus in Länder antreten, wo man ihnen freundlicher gesonnen ist. Sie dürfen einen Teil ihres Besitzes mitnehmen, doch Ihr beschlagnahmt den größten Teil ihres Goldes.;;Has decidido expulsar a todos los judíos del reino. Después de que tus guardias rodeen la judería, se ven obligados a iniciar otro gran éxodo en busca de tierras más amigables para su casta. Se les permite mantener muchas de sus pertenencias, pero confiscas gran parte de su oro.;;;;;;;;;x
EVTOPTA_IBC_105;It shall go to the Crown.;Cet or ira à la Couronne.;Das geht an die Krone.;;Irá a la Corona.;;;;;;;;;x
EVTDESC_IBC_106;Jews have been banned from your realm for some time, but strangely this seems to have had no effect on many of the malaises they were thought responsible for, such as famines and disease. By now most Jews seem to have forgiven your offenses, and you have decided to welcome them back with open arms.;Les juifs ont été bannis de votre royaume pendant un certain temps, mais curieusement, cela ne semble nullement remédier aux maux dont on les tenait pour responsables comme les famines et les maladies. À présent, de nombreux juifs semblent avoir pardonné vos offenses à leur égard et vous décidez de les accueillir à nouveau à bras ouverts.;Die Juden sind seit einiger Zeit aus Eurem Reich verbannt, doch seltsamerweise sind dadurch die Übel nicht verschwunden, für die man sie verantwortlich gemacht hatte, etwa Hungersnöte und Seuchen. Mittlerweile scheinen die meisten Juden Euch Eure Vergehen verziehen zu haben,und Ihr habt beschlossen, sie mit offenen Armen wieder aufzunehmen.;;Los judíos han tenido el acceso prohibido a tu reino durante algún tiempo pero, curiosamente, no parece haber tenido efecto alguno sobre los muchos males que se les atribuían, como hambrunas y enfermedades. A estas alturas, la mayoría de los judíos parecen haber perdonado tus ofensas y tú has decidido readmitirlos con los brazos abiertos.;;;;;;;;;x
EVTOPTA_IBC_106;Mistakes were made. Let us not dwell on them.;Des erreurs ont été commises. N'y pensons plus.;Es wurden Fehler gemacht. Lasst uns nicht länger dabei verweilen.;;Se cometieron errores. Superémoslo.;;;;;;;;;x
EVTDESC_IBC_107;Your liege, [Root.Liege.GetTitledFirstName], has issued a decree calling for the expulsion of all unlanded Jews from the entire realm, citing various grievances committed by them against the Crown.;Votre seigneur [Root.Liege.GetTitledFirstName] a émis un décret stipulant l'expulsion de toue les juifs sans terre du royaume, listant divers griefs commis par eux contre la Couronne.;Euer Lehnsherr, [Root.Liege.GetTitledFirstName], hat verfügt, dass alle Juden ohne Landbesitz das Reich zu verlassen haben. Als Begründung für den Erlass wurden diverse Vergehen gegen die Krone zitiert.;;Vuestro señor, [Root.Liege.GetTitledFirstName], ha promulgado un decreto que exige la expulsión de todos los judíos del reino, citando varios agravios cometidos contra la Corona.;;;;;;;;;x
EVTOPTA_IBC_107;I see.;Je vois.;Aha.;;Entiendo.;;;;;;;;;x
EVTOPTB_IBC_107;Alas, this means my loan cannot be repaid...;Hélas, cela signifie que je ne pourrai pas rembourser mon emprunt...;Tja, dann kann ich ja meine Schulden gar nicht zurückzahlen...;;Vaya, significa que no podré devolver el préstamo…;;;;;;;;;x
EVTDESC_IBC_108;Your liege, [Root.Liege.GetTitledFirstName], has decided to rescind the decree calling for the expulsion of all Jews. They are now once more permitted to live and work within the borders of the realm.;Votre seigneur [Root.Liege.GetTitledFirstName] a décidé d'annuler le décret d'expulsion de tous les juifs. Ils ont à nouveau l'autorisation de vivre et de travailler dans le royaume.;Euer Lehnsherr, [Root.Liege.GetTitledFirstName], hat beschlossen, den Beschluss zur Vertreibung der Juden außer Kraft zu setzen. Jetzt dürfen sie wieder im Reich leben und Handel treiben.;;Vuestro señor, [Root.Liege.GetTitledFirstName], ha decidido anular el decreto que exige la expulsión de todos los judíos. De nuevo pueden vivir y trabajar dentro de las fronteras del reino.;;;;;;;;;x
EVTDESC_IBC_300;The sudden expulsion of several important Jewish merchants has done some damage to the economy of your realm. It would seem they played a bigger role in the economic development of [Root.Capital.GetName] than your advisors gave them credit for.;L'expulsion soudaine de plusieurs marchands juifs importants a causé un préjudice à l'économie de votre royaume. Il semble qu'ils jouaient un rôle plus important dans le développement économique de [Root.Capital.GetName] que l'estimaient vos conseillers.;Die plötzliche Vertreibung verschiedener jüdischer Händler hat der Wirtschaftskraft des Landes geschadet. Scheinbar spielten sie eine größere Rolle für den Aufschwung von [Root.Capital.GetName] als man für möglich gehalten hatte.;;La repentina expulsión de varios comerciantes judíos importantes ha dañado la economía de vuestro reino. Parece que tenían un papel en el desarrollo económico de [Root.Capital.GetName] más importante de lo que vuestros consejeros creían.;;;;;;;;;x
EVTOPTA_IBC_300;Fools!;Quels imbéciles !;Dummköpfe!;;¡Tontos!;;;;;;;;;x
EVTDESC_IBC_301;Several of the largest patrons of culture in [Root.Capital.GetName] were apparently Jewish, something your advisors were ignorant of. Since the expulsion of the Jewry, cultural life all across the realm has suffered.;Plusieurs des plus importants mécènes culturels de [Root.Capital.GetName] étaient apparemment juifs, fait que vos conseillers ignoraient. Depuis l'expulsion des juifs, la vie culturelle du royaume est mal en point.;Wie sich herausstellte, waren unter den Juden einige der wichtigsten Kulturförderer in ganz [Root.Capital.GetName]. Euren Beratern war dies wohl entgangen. Im Ergebnis hat sich die Vertreibung der Juden sehr ungünstig auf das kulturelle Leben im ganzen Reich ausgewirkt.;;Por lo visto, varios de los principales patrocinadores de cultura en [Root.Capital.GetName] eran judíos, algo que vuestros consejeros desconocían. Desde la expulsión de los judíos, la vida cultural de todo el reino ha sufrido.;;;;;;;;;x
EVTOPTA_IBC_301;Who needs culture?;La culture ? Et puis quoi encore ?;Wer braucht schon Kultur?;;¿Quién quiere cultura?;;;;;;;;;x
