#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_CRISIS_OF_THE_CONFEDERATION;Crisis of the Confederation;Crise de la Confédération;;;;;;;;;;;;x
BM_CRISIS_OF_THE_CONFEDERATION_DESC;It is the year 2998, and galactic civilization stands on the brink of collapse. Led by the charismatic politician Juan Lebedev, a coalition of periphery states have joined together in declaring their independence from the TERRAN CONFEDERATION.\n\nIn the face of this rebellion, the Confederation places its hopes in newly-elected President Morgan Afolayan and the good men and women of the CONFEDERATE SPACE COMMAND, charged with returning the defiant outer rim to Earth's control. As darkness falls across the galaxy, ships speed forth from Earth for the first great battle in nearly five hundred years...;Nous sommes en 2998, et la civilisation galactique est au bord de l'effondrement. Dirigée par le charismatique politicien Juan Lebedev, une coalition d'états périphériques se sont réunis pour déclarer leur indépendance de laConfédération terrienne.\n\nPour contrer cette rébellion, la Confédération a placé ses espoirs dans le nouveau président Morgan Afolayan et dans les bons citoyens et citoyennes de la Commandement Spatial Confédéré, chargés de faire revenir les rebelles de la ceinture extérieure sous le joug terrien. Alors que l'obscurité gagne à travers la galaxie, les navires accélèrent vers la Terre pour la plus grande bataille des cinq cents dernières années ...;;;;;;;;;;;;x
clone_self_decision;Clone Yourself;Clônez vous vous-même;;;;;;;;;;;;x
clone_self_decision_desc;Commission a single-donor clone of yourself. The clone will take approximately nine months to gestate and will share almost all of your DNA.;Demander la création d'un clône de vous-même. Le clône prendra environ neuf mois pour arriver à maturation et il partagera avec vous la quasi-totalité de votre ADN.;;;;;;;;;;;;x
EVTDESCCLONE0;You arrange a meeting with a prominent geneticist from the [Root.Capital.GetName] System, who agrees to have your genome copied and used to grow a clone, for a rather hefty fee. The clone will require approximately nine months of gestation, and will share all or almost all of your DNA.;Vous arrangez un rendez-vous avec un éminent généticien du système [Root.Capital.GetName], qui accèpte de copier votre génôme et de l'utiliser pour créer un clône, à un tarif plutôt élevé. Le clône nécessitera environ neuf mois pour arriver à maturation, et partagera avec vous la majorité de votre ADN.;;;;;;;;;;;;x
EVTOPTACLONE0;Commission a male clone.;Commander un clône masculin;;;;;;;;;;;;x
EVTOPTBCLONE0;Commission a female clone.;Commander un clône féminin.;;;;;;;;;;;;x
EVTOPTCCLONE0;Nevermind.;Peu importe.;;;;;;;;;;;;x
MALECLONETOOLTIP;A male clone will be grown and ready for decanting in approximately nine months.\n;Un clône masculin va être cultiver et sera prêt au service dans environ neuf mois.\n;;;;;;;;;;;;x
FEMALECLONETOOLTIP;A female clone will be grown and ready for decanting in approximately nine months.\n;Un clône féminin va être cultiver et sera prêt au service dans environ neuf mois.\n;;;;;;;;;;;;x
FEMALECLONEWARNINGTOOLTIP;Â§RWARNING!Â§ A female clone can be created using only a male donor by duplicating the donor's X chromosome. However, this may have severe side-effects, similar to the effects of inbreeding.;Â§RATTENTION!Â§ Un clône féminin ne peu être créé à partir d'un donneur mâle qu'en dupplicant le chromosome X du donneur. Néanmoins, ceci peu avoir de graves effet secondaires, similaires aux effets de la consanguinité.;;;;;;;;;;;;x
