#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
clone_self_decision;Clone Yourself;Clônez vous vous-même;;;;;;;;;;;;x
clone_self_decision_desc;Commission a single-donor clone of yourself. The clone will take approximately nine months to gestate and will share almost all of your DNA.;Demander la création d'un clône de vous-même. Le clône prendra environ neuf mois pour arriver à maturation et il partagera avec vous la quasi-totalité de votre ADN.;;;;;;;;;;;;x
EVTDESCCLONE0;You arrange a meeting with a prominent geneticist from the [Root.Capital.GetName] System, who agrees to have your genome copied and used to grow a clone, for a rather hefty fee. The clone will require approximately nine months of gestation, and will share all or almost all of your DNA.;Vous arrangez un rendez-vous avec un éminent généticien du système [Root.Capital.GetName], qui accèpte de copier votre génôme et de l'utiliser pour créer un clône, à un tarif plutôt élevé. Le clône nécessitera environ neuf mois pour arriver à maturation, et partagera avec vous la majorité de votre ADN.;;;;;;;;;;;;x
EVTOPTACLONE0;Commission a male clone.;Commander un clône masculin;;;;;;;;;;;;x
EVTOPTBCLONE0;Commission a female clone.;Commander un clône féminin.;;;;;;;;;;;;x
EVTOPTCCLONE0;Nevermind.;Peu importe.;;;;;;;;;;;;x
MALECLONETOOLTIP;A male clone will be grown and ready for decanting in approximately nine months.\n;Un clône masculin va être cultiver et sera prêt au service dans environ neuf mois.\n;;;;;;;;;;;;x
FEMALECLONETOOLTIP;A female clone will be grown and ready for decanting in approximately nine months.\n;Un clône féminin va être cultiver et sera prêt au service dans environ neuf mois.\n;;;;;;;;;;;;x
FEMALECLONEWARNINGTOOLTIP;Â§RWARNING!Â§ A female clone can be created using only a male donor by duplicating the donor's X chromosome. However, this may have severe side-effects, similar to the effects of inbreeding.;Â§RATTENTION!Â§ Un clône féminin ne peu être créé à partir d'un donneur mâle qu'en dupplicant le chromosome X du donneur. Néanmoins, ceci peu avoir de graves effet secondaires, similaires aux effets de la consanguinité.;;;;;;;;;;;;x
EVTDESCCLONE3;Word from the laboratory has arrived, informing you that your clone has finished the early gestation period and has now been decanted. Soon, you find yourself at the laboratory, holding your newly-grown son in your arms.;Une note du laboratoire vient d'arriver, ils vous informent que votre clône a terminé la première phase de son développement et doit maintenant être affiné. Trés rapidement, vous vous retrouvez devant le laboratoire, votre fils cloné dans vos bras.;;;;;;;;;;;;x
EVTOPTACLONE3;What a wonderful baby boy.;Quel merveilleux petit homme!;;;;;;;;;;;;x
EVTDESCCLONE4;Word from the laboratory has arrived, informing you that your clone has finished the early gestation period and has now been decanted. Soon, you find yourself at the laboratory, holding your newly-grown daughter in your arms.;Une note du laboratoire vient d'arriver, ils vous informent que votre clône a terminé la première phase de son développement et doit maintenant être affiné. Trés rapidement, vous vous retrouvez devant le laboratoire, votre fille clonée dans vos bras.;;;;;;;;;;;;x
EVTOPTACLONE4;What a wonderful baby girl.;Quelle merveilleuse petite princesse!;;;;;;;;;;;;x
EVTOPTBCLONE4;What a wonderful baby girl.;Quelle merveilleuse petite princesse!;;;;;;;;;;;;x
EVTDESCCLONE5;A prominent geneticist from the [From.GetName] System contacts you with important information. Apparently, [FromFrom.GetFullName] commissioned a clone from the laboratory approximately nine months ago, and the clone has now been decanted. As the laboratory is now under your jurisdiction, it falls to you to decide the infant's fate.;Un généticien renommé du système [From.GetName] vous a contacté pour vous communiquer une importante information. Apparement, [FromFrom.GetFullName] a commandé un clône au laboratoire il y a environ neuf mois, et son développement est désormais terminé. Dans la mesure où ce laboratoire est maintenant sous votre juridiction, c'est à vous qu'il revient de statuer sur le sort de l'enfant.;;;;;;;;;;;;x
EVTOPTACLONE5;Have him returned to his father.;Le renvoyer à son père.;;;;;;;;;;;;x
EVTOPTBCLONE5;Make sure the boy never leaves [From.GetName].;S'assurer que l'enfant ne quitte jamais [From.GetName].;;;;;;;;;;;;x
EVTDESCCLONE6;A prominent geneticist from the [From.GetName] System contacts you with important information. Apparently, [FromFrom.GetFullName] commissioned a clone from the laboratory approximately nine months ago, and the clone has now been decanted. As the laboratory is now under your jurisdiction, it falls to you to decide the infant's fate.;Un généticien renommé du système [From.GetName] vous a contacté pour vous communiquer une importante information. Apparement, [FromFrom.GetFullName] a commandé un clône au laboratoire il y a environ neuf mois, et son développement est désormais terminé. Dans la mesure où ce laboratoire est maintenant sous votre juridiction, c'est à vous qu'il revient de statuer sur le sort de l'enfant.;;;;;;;;;;;;x
EVTOPTACLONE6;Have her returned to her mother.;La renvoyer à sa mère.;;;;;;;;;;;;x
EVTOPTBCLONE6;Make sure the girl never leaves [From.GetName].;S'assurer que la fille ne quitte jamais [From.GetName].;;;;;;;;;;;;x
EVTOPTCCLONE6;Have her returned to her mother.;La renvoyer à sa mère.;;;;;;;;;;;;x
EVTOPTDCLONE6;Make sure the girl never leaves [From.GetName].;S'assurer que la fille ne quitte jamais [From.GetName].;;;;;;;;;;;;x
