#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
CB_NAME_CULTURAL_LIBERATION;National Liberation;;;;;;;;;;;;;x
cultural_liberation_desc;The [Root.Culture.GetGroupName] people of the [This.GetFullName] labor under foreign oppressors. They must be liberated!;;;;;;;;;;;;x
WAR_NAME_CULTURAL_LIBERATION;$ORDER$[Actor.Culture.GetGroupName] Nationalist War for $OTHER_TITLE$;;;;;;;;;;;;;x
terran_group;Terrans;Terriens;Terraner;;Terrícolas;;;;;;;;;x
anglo_terran;Anglo-American;Terrien;Anglo-Terraner;;Terrícola;;;;;;;;;x
arab_terran;Arab;Terrien;Arabischer Terraner;;Terrícola;;;;;;;;;x
east_afro_terran;East African;Terrien;Ostafrikanischer Terraner;;Terrícola;;;;;;;;;x
ethiopian_terran;Ethiopian;Terrien;Ethiopischer Terraner;;Terrícola;;;;;;;;;x
hispanic_terran;Spanish-American;Terrien;Hispano-Terraner;;Terrícola;;;;;;;;;x
indo_terran;Indian;Terrien;Indo-Terraner;;Terrícola;;;;;;;;;x
iranian_terran;Iranian;Terrien;Iranischer Terraner;;Terrícola;;;;;;;;;x
japanese_terran;Japanese;Terrien;Japanischer Terraner;;Terrícola;;;;;;;;;x
mesoamerican_terran;Mesoamerican;Terrien;Mesoamerikanischer Terraner;;Terrícola;;;;;;;;;x
russo_terran;Russian;Terrien;Russischer Terraner;;Terrícola;;;;;;;;;x
sino_terran;Chinese;Terrien;Sino-Terraner;;Terrícola;;;;;;;;;x
west_afro_terran;West African;Terrien;West Afrikanischer Terraner;;Terrícola;;;;;;;;;x
###;#;#;#;;#;;;;;;;;;x
xingjie_group;Xingjie;Xingjie;Xingjie;;Xingjie;;;;;;;;;x
anglo_xingjie;Anglo-Xingjie;Xingjie;Anglo-Xingjie;;Xingjie;;;;;;;;;x
arab_xingjie;Arab-Xingjie;Xingjie;Arabischer Xingjie;;Xingjie;;;;;;;;;x
east_afro_xingjie;East-Afro-Xingjie;Xingjie;Ostafrikanischer Xingjie;;Xingjie;;;;;;;;;x
ethiopian_xingjie;Ethiopian-Xingjie;Xingjie;Ethiopischer Xingjie;;Xingjie;;;;;;;;;x
