#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
TOOLTIPCROWNLAWCHANGETIMER;has not changed a Constitutional Law in 10 years.;;;;;;;;;;;;;x
changed_crown_law_timer;Changed Constitutional Law;;;;;;;;;;;;;x
changed_crown_law_timer_desc;This character changed a Constitutional Law some time within the past 10 years, and cannot change another until this modifier expires.;;;;;;;;;;;;;x
feudal_elective;Federal Elective;FÈdÈration ÈlÈctive;;;;;;;;;;;;x
succ_feudal_elective;Federal Elective;FÈdÈration ÈlÈctive;;;;;;;;;;;;x
succ_feudal_elective_desc;Rulers are elected by a federal council consisting of the previous ruler, their immediate superior, and all major regional governors. In practice, the new ruler will almost always be a member of the electoral council or a relative of the previous ruler.;Les dirigeants sont Èlus par un conseil fÈdÈrale composÈ du dirigeant prÈcÈdent, son supÈrieur immÈdiat, et tous les principaux gouverneurs rÈgionaux. En pratique, le nouveau dirigeant sera toujours un membre du conseil ÈlÈctoral du prÈcÈdent dirigeant.;;;;;;;;;;;;x
open_elective;Democratic Elective;DÈmocratie ÈlÈctive;;;;;;;;;;;;x
succ_open_elective;Democratic Elective;DÈmocratie ÈlÈctive;;;;;;;;;;;;x
succ_open_elective_desc;Rulers are elected by popular vote.;Les dirigeants sont Èlus par vote populaire.;;;;;;;;;;;;x
patrician_elective;Oligarchic Elective;Oligarchie ÈlÈctive;;;;;;;;;;;;x
succ_patrician_elective;Oligarchic Elective;Oligarchie ÈlÈctive;;;;;;;;;;;;x
succ_patrician_elective_desc;Rulers are nominally elected by popular vote. In practice, a handful of wealthy families monopolize the political process.;Les dirigeants sont thÈoriquement Èlus par vote populaire. Dans la pratique, une poignÈe de riches familles monopolisent le milieu politique.;;;;;;;;;;;;x
tanistry;Dynastic Elective;Dynastie ÈlÈctive;;;;;;;;;;;;x
succ_tanistry;Dynastic Elective;Dynastie ÈlÈctive;;;;;;;;;;;;x
succ_tanistry_desc;Rulers are elected by a federal council, but only members of a specific ruling family are eligible for election.;Les dirigeants sont Èlus par un conseil fÈdÈral, mais seuls les membres d'une famille rÈgnante spÈcifiques sont elligibles.;;;;;;;;;;;;x
legitimacy_law;Legitimacy;LÈgitimitÈ;;;;;;;;;;;;x
legitimacy_law_desc;The legitimate source of power and authority, as perceived by your people. Legitimacy determines what succession laws you may use, and which legitimacy types are available depends on your ideology and government type.;La source lÈgitime du pouvoir et de l'autoritÈ, telle que perÁue par votre peuple. La lÈgitimitÈ dÈtermine quelles sont les lois de succession que vous pouvez utiliser, et quels types de lÈgitimitÈ sont disponibles en fonction de votre idÈologie et type de gouvernement.;;;;;;;;;;;;x1
legitimacy_law_0;Hereditary Succession;Succession hÈrÈditaire;;;;;;;;;;;;x
legitimacy_law_0_option;Hereditary;HÈrÈditÈ;;;;;;;;;;;;x
legitimacy_law_0_desc;Political legitimacy is conferred by descent from previous rulers.;La lÈgitimitÈ politique est confÈrÈe par l'hÈrÈditÈ des dirigeants prÈcÈdants.;;;;;;;;;;;;x
legitimacy_law_1;Democractic Succession;Succession dÈmocratique;;;;;;;;;;;;x
legitimacy_law_1_option;Elective;ElÈction;;;;;;;;;;;;x
legitimacy_law_1_desc;Political legitimacy comes from the consent of the people.;La lÈgimitÈ politique provient du consentement du peuple.;;;;;;;;;;;;x
legitimacy_law_2;Appointment;Nomination;;;;;;;;;;;;x
legitimacy_law_2_option;Appointment;Nomination;;;;;;;;;;;;x
legitimacy_law_2_desc;Political legitimacy comes from being appointed by a recognized authority - either one's predecessor or one's superior.;La lÈgÈtimitÈ politique provient du mandat dÈlivrÈ par une autoritÈ reconnue.;;;;;;;;;;;;x
local_legitimacy_law;Legitimacy;LÈgitimitÅE;;;;;;;;;;;x
local_legitimacy_law_desc;The legitimate source of power and authority, as perceived by your people. Legitimacy determines what succession laws you may use, and which legitimacy types are available depends on your ideology and government type.;La source lÈgitime du pouvoir et de l'autoritÅE telle que perÁue par votre peuple. La lÈgitimitÅEdÈtermine quelles sont les lois de succession que vous pouvez utiliser, et quels types de lÈgitimitÅEsont disponibles en fonction de votre idÈologie et type de gouvernement.;;;;;;;;;;;;x1
local_legitimacy_law_0;Hereditary Succession;Succession hÈrÈditaire;;;;;;;;;;;;x
local_legitimacy_law_0_option;Hereditary;HÈrÈditÅE;;;;;;;;;;;x
local_legitimacy_law_0_desc;Political legitimacy is conferred by descent from previous rulers.;La lÈgitimitÅEpolitique est confÈrÈe par l'hÈrÈditÅEdes dirigeants prÈcÈdants.;;;;;;;;;;;;x
local_legitimacy_law_1;Democractic Succession;Succession dÈmocratique;;;;;;;;;;;;x
local_legitimacy_law_1_option;Elective;ElÈction;;;;;;;;;;;;x
local_legitimacy_law_1_desc;Political legitimacy comes from the consent of the people.;La lÈgimitÅEpolitique provient du consentement du peuple.;;;;;;;;;;;;x
local_legitimacy_law_2;Appointment;Nomination;;;;;;;;;;;;x
local_legitimacy_law_2_option;Appointment;Nomination;;;;;;;;;;;;x
local_legitimacy_law_2_desc;Political legitimacy comes from being appointed by a recognized authority - either one's predecessor or one's superior.;La lÈgÈtimitÅEpolitique provient du mandat dÈlivrÅEpar une autoritÅEreconnue.;;;;;;;;;;;;x
inheritance_law;Inheritance Law;Lois de succession;;;;;;;;;;;;x
inheritance_law_desc;The process by which the high offices are inherited.;Le processus par lequel les hautes fonctions sont hÈritÈes.;;;;;;;;;;;;x
inheritance_law_0;No Inheritance;Pas d'hÈritage;;;;;;;;;;;;x
inheritance_law_0_option;None;Rien;;;;;;;;;;;;x
inheritance_law_0_desc;Our people regard hereditary succession to be the basis of political legitimacy, but our current constitution does not protect the right to inheritance. We should rectify this immediately, or risk revolution.;Notre peuple considËre la succession hÈrÈditaire comme base de la lÈgitimitÈ politique, mais notre constitution actuelle ne protËge pas le droit ‡ l'hÈritage. Nous devons remÈdier ‡ cette situation immÈdiatement ou nous risquons la rÈvolution.;;;;;;;;;;;;x
inheritance_law_1;Gavelkind Inheritance;Gavelkind;;;;;;;;;;;;x
inheritance_law_1_option;Gavelkind;Gavelkind;;;;;;;;;;;;x
inheritance_law_1_desc;Upon a ruler's death, their estate is divided evenly among their children.;A la mort d'un dirigeant, ses possessions sont divisÈes entre ses enfants.;;;;;;;;;;;;x
inheritance_law_2;Seniority Inheritance;AnciennetÈ;;;;;;;;;;;;x
inheritance_law_2_option;Seniority;AnciennetÈ;;;;;;;;;;;;x
inheritance_law_2_desc;Upon a ruler's death, control of their estate passes to their oldest living relative.;A la mort du dirigeant, ses possessions vont ‡ son parent le plus agÈ.;;;;;;;;;;;;x
inheritance_law_3;Primogeniture Inheritance;PrimogÈniture;;;;;;;;;;;;x
inheritance_law_3_option;Prim.;Prim.;;;;;;;;;;;;x
inheritance_law_3_desc;Upon a ruler's death, control of their estate passes to their oldest child.;A la mort du dirigeant, ses possessions vont ‡ son enfant le plus agÈ.;;;;;;;;;;;;x
inheritance_law_4;Ultimogeniture Inheritance;UltimogÈniture;;;;;;;;;;;;x
inheritance_law_4_option;Ultim.;Ultim.;;;;;;;;;;;;x
inheritance_law_4_desc;Upon a ruler's death, control of their estate passes to their youngest child or most recent clone.;A la mort du dirigeant, ses possessions vont ‡ son enfant le plus jeune, ou ‡ son plus rÈcent clÙne;;;;;;;;;;;;x
local_inheritance_law;Inheritance Law;Lois de succession;;;;;;;;;;;;x
local_inheritance_law_desc;The process by which the high offices are inherited.;Le processus par lequel les hautes fonctions sont hÈritÈes.;;;;;;;;;;;;x
local_inheritance_law_0;No Inheritance;Pas d'hÈritage;;;;;;;;;;;;x
local_inheritance_law_0_option;None;Rien;;;;;;;;;;;;x
local_inheritance_law_0_desc;Our people regard hereditary succession to be the basis of political legitimacy, but our current constitution does not protect the right to inheritance. We should rectify this immediately, or risk revolution.;Notre peuple considËre la succession hÈrÈditaire comme base de la lÈgitimitÅEpolitique, mais notre constitution actuelle ne protËge pas le droit ÅEl'hÈritage. Nous devons remÈdier ÅEcette situation immÈdiatement ou nous risquons la rÈvolution.;;;;;;;;;;;;x
local_inheritance_law_1;Gavelkind Inheritance;Gavelkind;;;;;;;;;;;;x
local_inheritance_law_1_option;Gavelkind;Gavelkind;;;;;;;;;;;;x
local_inheritance_law_1_desc;Upon a ruler's death, their estate is divided evenly among their children.;A la mort d'un dirigeant, ses possessions sont divisÈes entre ses enfants.;;;;;;;;;;;;x
local_inheritance_law_2;Seniority Inheritance;AnciennetÅE;;;;;;;;;;;x
local_inheritance_law_2_option;Seniority;AnciennetÅE;;;;;;;;;;;x
local_inheritance_law_2_desc;Upon a ruler's death, control of their estate passes to their oldest living relative.;A la mort du dirigeant, ses possessions vont ÅEson parent le plus agÅE;;;;;;;;;;;;x
local_inheritance_law_3;Primogeniture Inheritance;PrimogÈniture;;;;;;;;;;;;x
local_inheritance_law_3_option;Prim.;Prim.;;;;;;;;;;;;x
local_inheritance_law_3_desc;Upon a ruler's death, control of their estate passes to their oldest child.;A la mort du dirigeant, ses possessions vont ÅEson enfant le plus agÅE;;;;;;;;;;;;x
local_inheritance_law_4;Ultimogeniture Inheritance;UltimogÈniture;;;;;;;;;;;;x
local_inheritance_law_4_option;Ultim.;Ultim.;;;;;;;;;;;;x
local_inheritance_law_4_desc;Upon a ruler's death, control of their estate passes to their youngest child or most recent clone.;A la mort du dirigeant, ses possessions vont ÅEson enfant le plus jeune, ou ÅEson plus rÈcent clÙne;;;;;;;;;;;;x
election_law;Election Law;Lois Èlectorales;;;;;;;;;;;;x
election_law_desc;The process by which the state's leaders are elected.;Le processus par lequel les dirigeants des Ètats sont Èlus.;;;;;;;;;;;;x
election_law_0;No Elections;Pas d'ÈlÈction;;;;;;;;;;;;x
