#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
not_ready_to_marry;Seeking Marriage of Love;;;;;;;;;;;;;x
not_ready_to_marry_desc;This character wants to marry someone of their own choice, and will currently not agree to a political marriage. Given time, they may change their mind.;;;;;;;;;;;;;x
force_arranged_marriage;Force [This.GetBestName] to Marry;;;;;;;;;;;;;x
force_arranged_marriage_desc;[This.GetBestName] stubbornly refuses to accept an arranged marriage. You have the power to force [This.GetHerHim], if you so desire.;;;;;;;;;;;;;x
not_having_babies_1;Has a Child;;;;;;;;;;;;;x
not_having_babies_1_desc;This character has already had one child, and can consider their biological imperative satisfied.;;;;;;;;;;;;;x
not_having_babies_2;Has Two Children;;;;;;;;;;;;;x
not_having_babies_2_desc;This character already has two children, which is quite sufficient to maintain the galactic population.;;;;;;;;;;;;;x
not_having_babies_3;Has Three Children;;;;;;;;;;;;;x
not_having_babies_3_desc;This character already has three children. It's highly unlikely they'll ever want a fourth.;;;;;;;;;;;;;x
opinion_forced_arranged_marriage;Forced Me Into an Arranged Marriage;;;;;;;;;;;;;x
EVTDESCLOVERS0;You've been spending a lot of time in the company of [From.GetFullName] lately, and you're starting to think you might be developing romantic feelings for [From.GetHerHim].;;;;;;;;;;;;;x
EVTOPTALOVERS0;I must confess my love!;;;;;;;;;;;;;x
EVTOPTBLOVERS0;It's not appropriate.;;;;;;;;;;;;;x
EVTTOOLTIPLOVERS1;will be told of your love for [This.GetHerHim].;;;;;;;;;;;;;x
EVTDESCLOVERS1;You've been spending a lot of time in the company of [From.GetFullName] lately, but this is the first time [From.GetSheHe] has ever opened up to you so dramatically. After an oddly romantic evening, [From.GetSheHe] finally opens up [From.GetHerHis] heart.\n'I love you, [Root.GetFirstName].';;;;;;;;;;;;;x
EVTOPTALOVERS1;I know.;;;;;;;;;;;;;x
EVTOPTBLOVERS1;I... I'm sorry, [From.GetFirstName].;;;;;;;;;;;;;x
EVTTOOLTIPLOVERS2;will become your lover.;;;;;;;;;;;;;x
EVTDESCLOVERS2;You take [From.GetFirstName] out on a whirlwind romantic tour, before finally confessing your love - and to your joy [From.GetSheHe] returns it.;;;;;;;;;;;;;x
EVTOPTALOVERS2;This is the happiest day of my life!;;;;;;;;;;;;;x
EVTTOOLTIPLOVERS3;will be heartbroken.;;;;;;;;;;;;;x
EVTTOOLTIPLOVERS6;will not be happy about this.;;;;;;;;;;;;;x
EVTDESCLOVERS6;[From.GetFirstName] has left you for the love of another!;[From.GetFirstName] vous a quitter pour quelqu'un d'autre!;;;;;;;;;;;;x
EVTOPTALOVERS6;I suppose it's time to let go.;Je suppose qu'il est temps de laisser [From.GetFirstName] partir.;;;;;;;;;;;;x
EVTOPTBLOVERS6;That traitor! I'll never forgive [From.GetHerHim]!;Quel traitre!Je n'oublierais jamais [From.GetHerHim]!;;;;;;;;;;;;x
EVTOPTCLOVERS6;This '[FromFrom.GetFirstName]' will pay for stealing my love!;Ce '[FromFrom.GetFirstName]' paiera pour m'avoir voler mon amour!;;;;;;;;;;;;x
EVTDESCLOVERS100;You have finally come of age, and are now beginning to feel attracted to some of the people around you.;;;;;;;;;;;;;x
EVTOPTALOVERS100;I like men.;;;;;;;;;;;;;x
EVTOPTBLOVERS100;I like women.;;;;;;;;;;;;;x
EVTDESCLOVERS200;You've been hearing rumors for some time now, but now you have confirmed them - [FromFrom.GetFullName] shares your love for [From.GetFirstName]. Alas, you cannot share [From.GetHerHim].;Vous entendiez des rumeurs depuis quelque temps déjà, mais maintenant vous en avez confirmation - [FromFrom.GetFullName] partage votre amour avec [From.GetFirstName]. Hélas, [From.GetHerHim] n'est pas partageable.;;;;;;;;;;;;x
EVTOPTALOVERS200;[From.GetFirstName] is mine, and mine alone!;[From.GetFirstName] est à moi, à moi seul!;;;;;;;;;;;;x
EVTOPTBLOVERS200;Perhaps I don't love [From.GetHerHim] that much after all.;Peu-être que je n'aime pas [From.GetHerHim] tant que ça.;;;;;;;;;;;;x
EVTDESCLOVERS201;You had been enjoying the day, up until [From.GetFullName] burst into your chambers in a rage. 'Did you think I wouldn't notice?' [From.GetSheHe] demands, '[FromFrom.GetFirstName] is MINE, do you understand? I love [FromFrom.GetHerHim], and [FromFrom.GetSheHe] loves me, and we'll do just fine without you!';Vous goûtier une agréable journée, jusqu'à ce qu' [From.GetFullName] déboule dans votre chambre comme une furie. Vous pensiez que je ne remarquerais pas? demande [From.GetSheHe], '[FromFrom.GetFirstName] est à MOI, c'est bien compris. J'aime [FromFrom.GetHerHim], et [FromFrom.GetSheHe] m'aime, et nous ferons très bien sans vous!';;;;;;;;;;;;x
EVTOPTALOVERS201;How dare you stand in the way of my love?;Comment osez-vous vous mettre en travers de mon amour?;;;;;;;;;;;;x
EVTOPTBLOVERS201;Perhaps I don't love [FromFrom.GetHerHim] that much after all.;Peu-être que je n'aime pas [From.GetHerHim] tant que ça.;;;;;;;;;;;;x
marry_your_lover_same_sex;Marry Your Lover;;;;;;;;;;;;;x
marry_your_lover_male;Marry Your Lover;;;;;;;;;;;;;x
marry_your_lover_female;Marry Your Lover;;;;;;;;;;;;;x
EVTDESCMARRIAGE100;You are considering proposing to your lover.;;;;;;;;;;;;;x
EVTOPTAMARRIAGE100;Will you marry me?;;;;;;;;;;;;;x
EVTTOOLTIPMARRIAGE101;will be asked to marry you. §YThis will be a same-sex marriage. You will not be able to produce biological children.§!;;;;;;;;;;;;;x
