#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
CB_NAME_MILITARY_CAMPAIGN;Military Campaign;;;;;;;;;;;;;x
cb_military_campaign_desc;Conduct military operations against an enemy state. If successful, we will capture their leader, allowing our leaders to negotiate peace from a position of strength.;;;;;;;;;;;;;x
WAR_NAME_MILITARY_CAMPAIGN;Operation [Actor.Religion.GetRandomEvilGodName];;;;;;;;;;;;;x
successful_campaign;Military Victory;;;;;;;;;;;;;x
successful_campaign_desc;This character has recently won a major military victory, and as such is respected and admired by both their superiors and the soldiers under their command. They are given great respect, and their orders are trusted without question.;;;;;;;;;;;;;x
disastrous_campaign;Military Disaster;;;;;;;;;;;;;x
disastrous_campaign_desc;This character is still dealing with the legacy of a notorious military disaster suffered under their command, causing subordinates and superiors alike to constantly question their orders and ability.;;;;;;;;;;;;;x
EVTDESCCAMPAIGN1;[From.GetTitle] [From.GetFullName] has successfully completed a military campaign and captured one of your enemies!;;;;;;;;;;;;;x
EVTOPTACAMPAIGN1;Well done, [From.GetTitle].;;;;;;;;;;;;;x
EVTDESCCAMPAIGN3;[From.GetTitle] [From.GetFullName] has ordered a strategic withdrawal from one of [From.GetHerHis] military campaigns against your enemies.;;;;;;;;;;;;;x
EVTOPTACAMPAIGN3;Do I have to do everything myself?;;;;;;;;;;;;;x
EVTDESCCAMPAIGN5;[From.GetTitle] [From.GetFullName] has suffered a humilitating defeat in the field, and abandoned one of [From.GetHerHis] military campaigns against your enemies.;;;;;;;;;;;;;x
EVTOPTACAMPAIGN5;I'm surrounded by IDIOTS!;;;;;;;;;;;;;x
opinion_successful_military_campaign;Conducted Successful Military Campaign;;;;;;;;;;;;;x
opinion_failed_military_campaign;Conducted Failed Military Campaign;;;;;;;;;;;;;x
dreadnoughts;Dreadnoughts;Cuirass駸;;;;;;;;;;;x
dreadnoughts_offensive;Dreadnought Attack;;;;;;;;;;;;x
dreadnoughts_defensive;Dreadnought Defense;;;;;;;;;;;;x
dreadnoughts_morale;Dreadnought Crew Morale;;;;;;;;;;;;x
RETTYPE_I1;I-42 Fighter Wing;;;;;;;;;;;;x
RETTYPE_I2;Fanatics Fighter Wing;;;;;;;;;;;;x
RETTYPE_B1;B-2 Bomber Wing;;;;;;;;;;;;x
RETTYPE_B2;Fanatics Bomber Wing;;;;;;;;;;;;x
RETTYPE_D1;X1 Combat Drone Cluster;;;;;;;;;;;;x
RETTYPE_DD1;Perseus-class Destroyer;;;;;;;;;;;;x
RETTYPE_DD1;Perseus-class Destroyer;;;;;;;;;;;;x
RETTYPE_BC1;Yamato-class Battlecruiser;;;;;;;;;;;;x
RETTYPE_DN1;Victory-class Dreadnought;;;;;;;;;;;;x
EVTDESCMILITARY0;You currently hold command of a military office, but you are a civilian, and have neither the training nor the experience to command field units. You will have to either give command to someone more qualified, or dissolve the military.;;;;;;;;;;;;x
EVTOPTAMILITARY0;Who's the most qualified officer I can trust?;;;;;;;;;;;;x
EVTOPTBMILITARY0;Command will go to our brightest strategic mind.;;;;;;;;;;;;x
EVTOPTCMILITARY0;If I can't command the military, nobody will!;;;;;;;;;;;;x
EVTDESCMILITARY1;Your command is currently organized as multiple separate fleets, which is causing no end of logistical and organizational nightmares for your staff. Either command of one fleet will have to be given to a subordinate, or the fleets must be merged.;;;;;;;;;;;;x
EVTOPTAMILITARY1;A little nepotism never hurt anyone.;;;;;;;;;;;;x
EVTOPTBMILITARY1;Who is my most qualified subordinate?;;;;;;;;;;;;x
