#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_planet_survey;Planetary Survey;;;;;;;;;;;;;x
ct_planet_survey;Planetary Survey;;;;;;;;;;;;;x
tp_planet_survey;Planetary Survey;;;;;;;;;;;;;x
bu_planet_survey_desc;A full survey of this planet has been conducted, revealing its natural environmental features.;;;;;;;;;;;;;x
ca_no_atmosphere;No Atmosphere;;;;;;;;;;;;;x
ct_no_atmosphere;No Atmosphere;;;;;;;;;;;;;x
tp_no_atmosphere;No Atmosphere;;;;;;;;;;;;;x
bu_no_atmosphere_desc;This planet has no naturally retained atmosphere, making it extremely dangerous for human habitation. Colonists must live inside sealed structures, and cannot risk venturing outside without a full EVA suit.;;;;;;;;;;;;;x
ca_toxic_atmosphere;Toxic Atmosphere;;;;;;;;;;;;;x
ct_toxic_atmosphere;Toxic Atmosphere;;;;;;;;;;;;;x
tp_toxic_atmosphere;Toxic Atmosphere;;;;;;;;;;;;;x
bu_toxic_atmosphere_desc;This planet's atmosphere is naturally toxic to humans and most other forms of Terran life, due to either a lax of oxygen or a surplus of some poisonous gas. Colonists must live in sealed buildings, and dare only venture outside while wearing a gas mask or similar filter.;;;;;;;;;;;;;x
ca_no_atmosphere_domes;Colony Domes;;;;;;;;;;;;;x
ct_no_atmosphere_domes;Colony Domes;;;;;;;;;;;;;x
tp_no_atmosphere_domes;Colony Domes;;;;;;;;;;;;;x
ca_toxic_atmosphere_domes;Colony Domes;;;;;;;;;;;;;x
ct_toxic_atmosphere_domes;Colony Domes;;;;;;;;;;;;;x
tp_toxic_atmosphere_domes;Colony Domes;;;;;;;;;;;;;x
bu_domes_desc;This planet has no natural breathable atmosphere, but the colonists have constructed a series of domes on the habitat domes and arcologies on the surface, in which humans can survive and crops can be grown, allowing the colony to survive even in this hostile environment.;;;;;;;;;;;;;x
ca_artificial_atmosphere;Artificial Atmosphere;;;;;;;;;;;;;x
ct_artificial_atmosphere;Artificial Atmosphere;;;;;;;;;;;;;x
tp_artificial_atmosphere;Artificial Atmosphere;;;;;;;;;;;;;x
bu_artificial_atmosphere_desc;This world would normally have no atmosphere, but due to a massive and complex terraforming project, this is no longer the case. The terraformers have been able to produce an artifical atmosphere using a large number of dedicated chemical factories and by using force fields to block some solar radiation and trap gasses that would normally escape the world's gravity well.;;;;;;;;;;;;;x
ca_scrubbed_atmosphere;Scrubbed Atmosphere;;;;;;;;;;;;;x
ct_scrubbed_atmosphere;Scrubbed Atmosphere;;;;;;;;;;;;;x
tp_scrubbed_atmosphere;Scrubbed Atmosphere;;;;;;;;;;;;;x
bu_scrubbed_atmosphere_desc;This planet's atmosphere would normally be toxic to humans, but the colonists have constructed a network of atmosphere scrubbers that drain it of its poisonous elements and fill it with sufficient oxygen for the planet's needs. The result is an atmosphere very similar to Earth's.;;;;;;;;;;;;;x
ca_clean_atmosphere;Clean Atmosphere;;;;;;;;;;;;;x
ct_clean_atmosphere;Clean Atmosphere;;;;;;;;;;;;;x
tp_clean_atmosphere;Clean Atmosphere;;;;;;;;;;;;;x
EVTDESCPLANETSURVEY0;Our explorers have completed a full survey of one the planets under our control, and have prepared a report on its natural characteristics and suitability for human habitation.;;;;;;;;;;;;;x
