#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV1;Ksora;Ksora;Ksora;;Ksora;;;;;;;;;x
PROV2;Oran;Oran;Oran;;Oran;;;;;;;;;x
PROV3;Talon;Talon;Talon;;Talon;;;;;;;;;x
PROV4;Fezzan;Fezzan;Fezzan;;Fezzan;;;;;;;;;x
PROV5;Madaar Shaadhdh;Madaar Shaadhdh;Madaar Shaadhdh;;Madaar Shaadhdh;;;;;;;;;x
PROV6;Unnati;Unnati;Unnati;;Unnati;;;;;;;;;x
PROV7;Porfo'ad;Porfo'ad;Porfo'ad;;Porfo'ad;;;;;;;;;x
PROV8;Porsa'id;Porsa'id;Porsa'id;;Porsa'id;;;;;;;;;x
PROV9;Yeni Istanbul;Yeni Istanbul;Yeni Istanbul;;Yeni Istanbul;;;;;;;;;x
PROV10;Tarka;Tarka;Tarka;;Tarka;;;;;;;;;x
PROV11;Marrakesh al-Jadiida;Marrakesh al-Jadiida;Marrakesh al-Jadiida;;Marrakesh al-Jadiida;;;;;;;;;x
PROV12;Al-dabaran;Al-dabaran;Al-dabaran;;Al-dabaran;;;;;;;;;x
PROV13;Omid;Omid;Omid;;Omid;;;;;;;;;x
PROV14;Qoqnoos;Qoqnoos;Qoqnoos;;Qoqnoos;;;;;;;;;x
PROV15;Ushirikiano;Ushirikiano;Ushirikiano;;Ushirikiano;;;;;;;;;x
PROV16;Mohamud;Mohamud;Mohamud;;Mohamud;;;;;;;;;x
PROV17;Mandela;Mandela;Mandela;;Mandela;;;;;;;;;x
PROV18;New Madeira;New Madeira;New Madeira;;New Madeira;;;;;;;;;x
PROV19;Kaksa ki vismata'em;Kaksa ki vismata'em;Kaksa ki vismata'em;;Kaksa ki vismata'em;;;;;;;;;x
PROV20;New Lusaka;New Lusaka;New Lusaka;;New Lusaka;;;;;;;;;x
PROV21;Dhartvir;Dhartvir;Dhartvir;;Dhartvir;;;;;;;;;x
PROV22;Dharmvir;Dharmvir;Dharmvir;;Dharmvir;;;;;;;;;x
PROV23;Alfred;Alfred;Alfred;;Alfred;;;;;;;;;x
PROV24;Etherland;Etherland;Etherland;;Etherland;;;;;;;;;x
PROV25;Avalon;Avalon;Avalon;;Avalon;;;;;;;;;x
PROV26;Camelot;Camelot;Camelot;;Camelot;;;;;;;;;x
PROV27;Merlin;Merlin;Merlin;;Merlin;;;;;;;;;x
PROV28;Paladin;Paladin;Paladin;;Paladin;;;;;;;;;x
PROV29;Caliburn;Caliburn;Caliburn;;Caliburn;;;;;;;;;x
PROV30;Greywood;Greywood;Greywood;;Greywood;;;;;;;;;x
PROV31;Mary's Star;Mary's Star;Mary's Star;;Mary's Star;;;;;;;;;x
PROV32;Galahad;Galahad;Galahad;;Galahad;;;;;;;;;x
PROV33;Shiverlight;Shiverlight;Shiverlight;;Shiverlight;;;;;;;;;x
PROV34;Virtue;Virtue;Virtue;;Virtue;;;;;;;;;x
PROV35;Henry's Star;Henry's Star;Henry's Star;;Henry's Star;;;;;;;;;x
PROV36;Lancelot;Lancelot;Lancelot;;Lancelot;;;;;;;;;x
PROV37;Numenor;Numenor;Numenor;;Numenor;;;;;;;;;x
PROV38;Robinson;Robinson;Robinson;;Robinson;;;;;;;;;x
PROV39;Chalice;Chalice;Chalice;;Chalice;;;;;;;;;x
PROV40;Nelson;Nelson;Nelson;;Nelson;;;;;;;;;x
PROV41;Sherwood;Sherwood;Sherwood;;Sherwood;;;;;;;;;x
PROV42;Endeavor;Endeavor;Endeavor;;Endeavor;;;;;;;;;x
PROV43;Garrison;Garrison;Garrison;;Garrison;;;;;;;;;x
PROV44;Victoria;Victoria;Victoria;;Victoria;;;;;;;;;x
PROV45;Tsim Sha Tsui;Tsim Sha Tsui;Tsim Sha Tsui;;Tsim Sha Tsui;;;;;;;;;x
PROV46;Quanzhou;Quanzhou;Quanzhou;;Quanzhou;;;;;;;;;x
PROV47;Guangzhou;Guangzhou;Guangzhou;;Guangzhou;;;;;;;;;x
PROV48;Wuhua;Wuhua;Wuhua;;Wuhua;;;;;;;;;x
PROV49;Kunming;Kunming;Kunming;;Kunming;;;;;;;;;x
PROV50;Bolivar fàngyùqû;Bolivar fàngyùqû;Bolivar fàngyùqû;;Bolivar fàngyùqû;;;;;;;;;x
PROV51;Chengdu;Chengdu;Chengdu;;Chengdu;;;;;;;;;x
PROV52;Xie Lanzhou;Xie Lanzhou;Xie Lanzhou;;Xie Lanzhou;;;;;;;;;x
PROV53;Nanchong;Nanchong;Nanchong;;Nanchong;;;;;;;;;x
PROV54;Fangqu Liehuzuo;Fangqu Liehuzuo;Fangqu Liehuzuo;;Fangqu Liehuzuo;;;;;;;;;x
PROV55;Xie Xi'an;Xie Xi'an;Xie Xi'an;;Xie Xi'an;;;;;;;;;x
PROV56;Chongqing;Chongqing;Chongqing;;Chongqing;;;;;;;;;x
PROV57;ZhengZhou;ZhengZhou;ZhengZhou;;ZhengZhou;;;;;;;;;x
PROV58;Tianjin;Tianjin;Tianjin;;Tianjin;;;;;;;;;x
PROV59;Xie Beijing;Xie Beijing;Xie Beijing;;Xie Beijing;;;;;;;;;x
PROV60;Shenyang;Shenyang;Shenyang;;Shenyang;;;;;;;;;x
PROV61;Hangzhou;Hangzhou;Hangzhou;;Hangzhou;;;;;;;;;x
