#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
democratic_rebellion;Democratic Rebellion;;;;;;;;;;;;;x
democratic_rebellion_desc;The people have decided to rise up against their overlords, overthrow them, and found a new republic.;;;;;;;;;;;;;x
autocratic_rebellion;Aurocratic Rebellion;;;;;;;;;;;;;x
autocratic_rebellion_desc;The people have decided to rise up against their overlords, overthrow them, and found a new military state.;;;;;;;;;;;;;x
theocratic_rebellion;Theocratic Rebellion;;;;;;;;;;;;;x
theocratic_rebellion_desc;The people have decided to rise up against their overlords, overthrow them, and found a new technocratic state.;;;;;;;;;;;;;x
CB_NAME_REBELLION;[Actor.Religion.GetName] Rebellion;;;;;;;;;;;;;x
WAR_NAME_REBELLION;$ORDER$$SECOND_ADJ$ [Actor.Religion.GetName] Rebellion;;;;;;;;;;;;;x
DEMOCRATIC_REVOLT;[Root.County.GetAdjective] Free Fleet;;;;;;;;;;;;;x
AUTOCRATIC_REVOLT;[Root.GetCulture] National Navy;;;;;;;;;;;;;x
THEOCRATIC_REVOLT;[Root.County.GetAdjective] [Root.GetReligion] Fleet;;;;;;;;;;;;;x
rebel_leader;Rebel Leader;;;;;;;;;;;;;x
rebel_leader_desc;This character is a major power figure in an ongoing popular revolt.;;;;;;;;;;;;;x
allowed_minor_rebellion;Allowed Rebellions;;;;;;;;;;;;;x
crushed_minor_rebellion;Crushed Rebellions;;;;;;;;;;;;;x
successful_minor_rebellion;Successful Rebellions;;;;;;;;;;;;;x
fell_to_minor_rebellion;Governments Fallen to Rebellion;;;;;;;;;;;;;x
failed_minor_rebellion;Failed Rebellions;;;;;;;;;;;;;x
allowed_major_rebellion;Allowed Major Rebellions;;;;;;;;;;;;;x
crushed_major_rebellion;Crushed Major Rebellions;;;;;;;;;;;;;x
successful_major_rebellion;Successful Major Rebellions;;;;;;;;;;;;;x
fell_to_major_rebellion;Major Governments Fallen to Rebellion;;;;;;;;;;;;;x
failed_major_rebellion;Failed Major Rebellions;;;;;;;;;;;;;x
opposed_system_revolt;Assisted System Governments;;;;;;;;;;;;;x
opposed_sector_revolt;Assisted Sector Governments;;;;;;;;;;;;;x
opposed_regional_revolt;Assisted Regional Governments;;;;;;;;;;;;;x
ignored_system_revolt;Abandoned System Governments;;;;;;;;;;;;;x
ignored_sector_revolt;Abandoned Sector Governments;;;;;;;;;;;;;x
ignored_regional_revolt;Abandoned Regional Governments;;;;;;;;;;;;;x
ignored_vassals;Abandoned Subordinates;;;;;;;;;;;;;x
ignored_vassals_desc;This character has ignored their subordinates' requests for military assistance and abandoned them to their enemies, greatly weakening their standing in the eyes of their other subordinates.;;;;;;;;;;;;;x
system_in_revolt;System in Revolt;;;;;;;;;;;;;x
system_in_revolt_desc;The people of this system are in open revolt against the government. The government's control over the system is purely nominal at this point, but as the rebels have already claimed all the ships they can get their hands on, it is unlikely to cause additional trouble for some time.;;;;;;;;;;;;;x
successful_revolt;Revolutionary Celebration;;;;;;;;;;;;;x
successful_revolt_desc;The people of this system are celebrating the recent victory of the revolution against the old, corrupt regime. The system is unlikely to cause any trouble for the new government for some time.;;;;;;;;;;;;;x
EVTDESCREBELS100;The people of the [Root.GetName] System have launched a rebelling against the system's government, claiming they want to establish a new democratic government in its place.;;;;;;;;;;;;;x
EVTDESCREBELS110;The people of the [Root.GetName] System have launched a rebelling against the sector government, claiming they want to establish a new democratic government in its place.;;;;;;;;;;;;;x
EVTDESCREBELS120;The people of the [Root.GetName] System have launched a rebelling against the regional government, claiming they want to establish a new democratic government in its place.;;;;;;;;;;;;;x
EVTDESCREBELS130;The people of the [Root.GetName] System have launched a rebelling against the federal government, claiming they want to establish a new democratic government in its place.;;;;;;;;;;;;;x
EVTDESCREBELS140;Partisans from the [Root.GetName] System have joined an ongoing democratic rebellion.;;;;;;;;;;;;;x
EVTDESCREBELS200;The people of the [Root.GetName] System have launched a rebelling against the system's government, claiming they want to establish a new autocratic government in its place.;;;;;;;;;;;;;x
