#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_veil;Veil;;;;;;;;;;;;x
d_inner_veil;Inner Veil;;;;;;;;;;;;x
c_vn_382;VN-381;;;;;;;;;;;;x
b_vn_382_i;VN-381 Prime;;;;;;;;;;;;x
c_vn_1241;VN-1241;;;;;;;;;;;;x
b_vn_1241_i;VN-1241 Prime;;;;;;;;;;;;x
c_vn_32;VN-32;;;;;;;;;;;;x
b_vn_32_i;VN-32 Prime;;;;;;;;;;;;x
c_vn_362;VN-362;;;;;;;;;;;;x
b_vn_362_i;VN-362 Prime;;;;;;;;;;;;x
d_outer_veil;Outer Veil;;;;;;;;;;;;x
c_vn_128;VN-128;;;;;;;;;;;;x
b_vn_128_i;VN-128 Prime;;;;;;;;;;;;x
c_vn_732;VN-732;;;;;;;;;;;;x
b_vn_732_i;VN-732 Prime;;;;;;;;;;;;x
c_vn_697;VN-697;;;;;;;;;;;;x
b_vn_697_i;VN-697 Prime;;;;;;;;;;;;x
d_remote_veil;Remote Veil;;;;;;;;;;;;x
c_vn_1571;VN-1571;;;;;;;;;;;;x
b_vn_1571_i;VN-1571 Prime;;;;;;;;;;;;x
c_vn_1780;VN-1780;;;;;;;;;;;;x
b_vn_1780_i;VN-1780 Prime;;;;;;;;;;;;x
c_vn_3110;VN-3110;;;;;;;;;;;;x
b_vn_3110_i;VN-3110 Prime;;;;;;;;;;;;x
