#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
UNIFICATION;Unification War;;;;;;;;;;;;;x
CRUSADE;Crusade;;;;;;;;;;;;;x
THE_SCRIPTURES;the Scriptures;;;;;;;;;;;;;x
THE_LAW;the law;;;;;;;;;;;;;x
THE_TEACHINGS;the teachings;;;;;;;;;;;;;x
GOD_GOD;God;;;;;;;;;;;;;x
GOD_GODDESS;Goddess;;;;;;;;;;;;;x
GOD_THE_LORD;the Lord;;;;;;;;;;;;;x
GOD_THE_LADY;the Lady;;;;;;;;;;;;;x
GOD_HOLY_TERRA;Holy Terra;;;;;;;;;;;;;x
GOD_THE_HOMEWORLD;the Homeworld;;;;;;;;;;;;;x
GOD_SOL;Sol;;;;;;;;;;;;;x
GOD_UNCONQUERED_SUN;the Unconquered Sun;;;;;;;;;;;;;x
GOD_THE_CAUSE;the cause;;;;;;;;;;;;;x
GOD_SINGULARITY;the Singularity;;;;;;;;;;;;;x
GOD_THE_MACHINE;the Machine;;;;;;;;;;;;;x
GOD_THE_GREAT_ENGINE;the Great Engine;;;;;;;;;;;;;x
GOD_THE_CODE;the Code;;;;;;;;;;;;;x
GOD_THE_HIVE;the Hive;;;;;;;;;;;;;x
political_group;Political;;;;;;;;;;;;;x
confederate;Federalist;;;;;;;;;;;;;x
confederate_desc;The Federalists believe in a federal pan-human state, with Earth as its capital. During the Unification Wars, Terran Federalism was the dominant ideology of the colonies, who were able to successfully prevent the Commonwealth from establish hegemony. The Terran Confederation was formed in the wake of this Federalist victory. Defining features in-game: \n§Y*§! Federalists are loyal to the Terran government.\n§Y*§! Federalist rulers may establish Puppet-Presidents.\n§Y*§! The President can grant the Police Action casus belli.\n§Y*§! Administrators may pay tax to the President rather than their immediate superiors.\n§Y*§! Federalists may only use the Federal Elective, Open Elective, Democratic Elective, and Appointment succession laws.\n§Y*§! Federalists may only use the Absolute Cognatic gender law.;;;;;;;;;;;;;x
republican;Republican;;;;;;;;;;;;;x
republican_desc;The Republicans believe in a unitary pan-human state, with Earth as its capital. During the Unificiation Wars, Republicanism was the dominant ideology of the Terran Commonwealth. While the Commonwealth has officially abandoned all claims to hegemony, a Republican trend still exists in the central worlds. Defining features in-game: \n§Y*§! Republicans are loyal to the Terran government.\n§Y*§! Republican rulers may establish Puppet-Presidents.\n§Y*§! The President can declare Unification Wars.\n§Y*§! The President can grant the Police Action casus belli.\n§Y*§! Administrators may pay tax to the President rather than their immediate superiors.\n§Y*§! Republicans may only use the Federal Elective, Open Elective, Democratic Elective, and Appointment succession laws.\n§Y*§! Republicans may only use the Absolute Cognatic gender law.;;;;;;;;;;;;;x
imperial;Imperialist;;;;;;;;;;;;;x
imperial_desc;The Imperialists are a new ideological movement who believe in an autocratic pan-human dictatorship, with Earth as its capital. Originating among hardline Republicans who blamed democracy for the Commonwealth's defeat in the Unification Wars, the Imperialists first began to grow in political strength during the Crisis of the Confederation. Defining features in-game: \n§Y*§! Imperialists are loyal to the Terran government.\n§Y*§! Republican rulers may establish Puppet Emperors.\n§Y*§! The Emperor can declare Unification Wars.\n§Y*§! The Emperor can grant the Imperial Invasion casus belli.\n§Y*§! The Emperor can declare Imperialist characters Traitors.\n§Y*§! Administrators may pay tax to the Emperor rather than their immediate superiors.;;;;;;;;;;;;;x
seperatist;Colonial Seperatist;;;;;;;;;;;;;x
seperatist_desc;The Seperatists are a new movement that reject all Terran rule. Originating in the perpetually mistreated and overlooked Periphery, their mass uprising is responsible for the Criss of the Confederation. Defining features in-game: \n§Y*§! Multiple Chief Justices - each Seperatist state has its own central legal authority.\n§Y*§! Administrators may pay tax to the local Chief Justices rather than their immediate superiors.\n§Y*§! Chief Justices can declare Seperatist characters within their jurisdiction Traitors.\n§Y*§! Seperatists may only use the Federal Elective, Open Elective, Democratic Elective, and Appointment succession laws.\n§Y*§! Seperatists may only use the Absolute Cognatic gender law.;;;;;;;;;;;;;x
religious_group;Religious;;;;;;;;;;;;;x
orthodox;Orthodox;;;;;;;;;;;;;x
orthodox_desc;The Great Reformation brought sweeping changes to the Pilgrimage. Gone was the old age of syncretism and ecumenialism - the Council of Eridani IV produced a rigidly-defined scriptural canon, established a formal Holy Creed, and created the position of Holy Patriarch to safeguard the pilgrimage to Holy Terra. Defining features in-game: \n§Y*§! There is one supreme ideological leader, the Patriarch.\n§Y*§! Orthodox rulers can establish Anti-Patriarchs.\n§Y*§! The Patriarch can grant divorces.\n§Y*§! The Patriarch can grant the Holy Invasion casus belli.\n§Y*§! The Patriarch can declare Crusades.\n§Y*§! Local priests may pay tax to the Patriarch rather than their immediate superiors.\n§Y*§! The Patriarch can declare Orthodox characters Traitors.\n§Y*§! Orthodox priests cannot marry.\n§Y*§! Orthodox rulers can declare Holy Wars against infidels and heretics.\n§Y*§! Orthodox characters may undertake the Holy Pilgrimage to Earth.;;;;;;;;;;;;;x
solarian;Solarian;;;;;;;;;;;;;x
solarian_desc;A long-standing sect within the Pilgrimage, the Solarians believe that the Sun is a physical manifestation of God. Only ever marginally tolerated, they were finally declared heretics at the Council of Eridani IV. In the days following the Council, some of the Solarians began to create their own organized church, in defiance of the Orthodoxy. Defining features in-game: \n§Y*§! There is one supreme ideological leader, the High Priest.\n§Y*§! The High Priest can grant divorces.\n§Y*§! The High Priest can grant the Holy Invasion casus belli.\n§Y*§! The High Priest can declare Crusades.\n§Y*§! The High Priest can declare Solarian characters Traitors.\n§Y*§! Solarian priests cannot marry.\n§Y*§! Solarian rulers can declare Holy Wars against infidels and heretics.\n§Y*§! Solarian characters may undertake the Holy Pilgrimage to Earth.;;;;;;;;;;;;;x
adoptionist;Adoptionist;;;;;;;;;;;;;x
