#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_terran;Terran Confederation;;;;;;;;;;;;;x
e_terran_ADJ;Terran;;;;;;;;;;;;;x
k_terran_navy;Terran Navy;;;;;;;;;;;;;x
k_terran_navy_ADJ;Terran Naval;;;;;;;;;;;;;x
d_first_fleet;First Fleet;;;;;;;;;;;;;x
d_first_fleet_ADJ;First Fleet;;;;;;;;;;;;;x
d_second_fleet;Second Fleet;;;;;;;;;;;;;x
d_second_fleet_ADJ;Second Fleet;;;;;;;;;;;;;x
d_third_fleet;Third Fleet;;;;;;;;;;;;;x
d_third_fleet_ADJ;Third Fleet;;;;;;;;;;;;;x
d_fourth_fleet;Fourth Fleet;;;;;;;;;;;;;x
d_fourth_fleet_ADJ;Fourth Fleet;;;;;;;;;;;;;x
d_fifth_fleet;Fifth Fleet;;;;;;;;;;;;;x
d_fifth_fleet_ADJ;Fifth Fleet;;;;;;;;;;;;;x
d_sixth_fleet;Sixth Fleet;;;;;;;;;;;;;x
d_sixth_fleet_ADJ;Sixth Fleet;;;;;;;;;;;;;x
d_seventh_fleet;Seventh Fleet;;;;;;;;;;;;;x
d_seventh_fleet_ADJ;Seventh Fleet;;;;;;;;;;;;;x
k_terran_commonwealth;Terran Commonwealth;;;;;;;;;;;;;x
k_terran_commonwealth_ADJ;Terran;;;;;;;;;;;;;x
d_sol;Sol;;;;;;;;;;;;;x
d_sol_ADJ;Solar;;;;;;;;;;;;;x
c_sol;Sol;;;;;;;;;;;;;x
c_sol_ADJ;Solar;;;;;;;;;;;;;x
b_earth;Earth;;;;;;;;;;;;;x
b_earth_ADJ;Terran;;;;;;;;;;;;;x
b_luna;Luna;;;;;;;;;;;;;x
b_luna_ADJ;Lunar;;;;;;;;;;;;;x
b_mars;Mars;;;;;;;;;;;;;x
b_mars_ADJ;Martian;;;;;;;;;;;;;x
b_ceres;Ceres;;;;;;;;;;;;;x
b_ceres_ADJ;Ceres;;;;;;;;;;;;;x
b_europa;Europa;;;;;;;;;;;;;x
b_europa_ADJ;Europan;;;;;;;;;;;;;x
b_ganymede;Ganymede;;;;;;;;;;;;;x
b_ganymede_ADJ;Ganymedic;;;;;;;;;;;;;x
b_io;Io;;;;;;;;;;;;;x
b_io_ADJ;Ionian;;;;;;;;;;;;;x
b_titan;Titan;;;;;;;;;;;;;x
b_titan_ADJ;Titanian;;;;;;;;;;;;;x
c_alpha_centauri;Alpha Centauri;;;;;;;;;;;;;x
c_alpha_centauri_ADJ;Centauri;;;;;;;;;;;;;x
c_sirius;Sirius;;;;;;;;;;;;;x
c_sirius_ADJ;Sirian;;;;;;;;;;;;;x
d_tau_ceti;Tau Ceti;;;;;;;;;;;;;x
d_tau_ceti_ADJ;Cetian;;;;;;;;;;;;;x
d_altair;Altair;;;;;;;;;;;;;x
d_altair_ADJ;Altairi;;;;;;;;;;;;;x
d_procyon;Procyon;;;;;;;;;;;;;x
d_procyon_ADJ;Procyonic;;;;;;;;;;;;;x
