#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

amateurish_plotter;Amateurish Plotter;Comploteur amateur;Dilettantischer Verschwörer;;Complotador amateur;;;;;;;;;x
amateurish_plotter_desc;The Amateurish Plotter has received an education emphasizing intrigue skills. Unfortunately, it didn't stick.;Ce personnage a reçu une éducation axée sur la compétence d’intrigue. Mais cela n’a pas donné grand-chose.;Der dilettantische Verschwörer hat eine auf intrigante Fähigkeiten setzende Ausbildung genossen. Leider konnte er sich nicht aber nicht allzu viel merken.;;El complotador amateur ha recibido una educación centrada en sus habilidades para la intriga pero, desafortunadamente, no da la talla.;;;;;;;;;x
flamboyant_schemer;Flamboyant Schemer;Intrigant flamboyant;Unnachahmlicher Ränkeschmieder;;Maquinador brillante;;;;;;;;;x
flamboyant_schemer_desc;Flamboyant Schemers thrive on court intrigue and fancy themselves masters of the trade. However, their lack of secrecy tends to endanger even their best efforts.;Ce personnage se délecte des intrigues de la Cour, mais son manque de discrétion a une fâcheuse tendance à nuire aux efforts qu’il déploie.;Unnachahmliche Ränkeschmieder blühen bei Hofintrigen auf und halten sich selbst für Meister ihres Faches. Ihre fehlende Geheimnishaltung gefährdet aber selbst ihre besten Versuche.;;Las intrigas en la corte son el pan de cada día de los maquinadores brillantes, orgullosos de ser maestros en este arte. Sin embargo, su falta de discreción sabotea incluso sus mejores esfuerzos.;;;;;;;;;x
intricate_webweaver;Intricate Webweaver;Habile intrigant;Undurchschaubarer Intrigenspinner;;Complicado tejedor de redes;;;;;;;;;x
intricate_webweaver_desc;The Intricate Webweaver is a master manipulator, well suited to a life of intrigue.;Ce personnage est un manipulateur intelligent et doué, prêt à mener une vie d’intrigant.;Der undurchschaubare Intrigenspinner manipuliert meisterhaft und ist für ein Leben voller Intrigen wie geschaffen.;;Este personaje es un maestro de la manipulación y encaja perfectamente en una vida de intrigas.;;;;;;;;;x
elusive_shadow;Elusive Shadow;Ombre insaisissable;Flüchtiger Schatten;;Sombra esquiva;;;;;;;;;x
elusive_shadow_desc;The Elusive Shadow has mastered the art of Intrigue and should make a perfect Spymaster - as well as an ideal mentor for prospective schemers.;Ce personnage est un véritable maître de l’intrigue et fait un parfait Maître-Espion, de même que le mentor idéal des amateurs d’intrigues.;Der flüchtige Schatten hat die Kunst der Intrige gemeistert und sollte einen perfekten Agentenführer abgeben. Auch als Mentor für aufstrebende Verschwörer wäre er ideal.;;Una sombra esquiva ha dominado el arte de la Intriga y sería un jefe de espías perfecto, así como un mentor ideal para futuros complotadores.;;;;;;;;;x
naive_appeaser;Naive Appeaser;Conciliateur naïf;Naiver Beschwichtiger;;Pacificador ingenuo;;;;;;;;;x
naive_appeaser_desc;Naive Appeasers want to be well liked and fancy themselves diplomats. Unfortunately, everyone else just tends to bully them.;Ce personnage aime être aimé et se veut être un bon diplomate. Malheureusement, il n’en est rien.;Naive Beschwichtiger möchten von allen gemocht werden und halten sich selbst für Diplomaten. Unglücklicherweise werden sie von allen anderen drangsaliert.;;Los pacificadores ingenuos desean agradar a la gente y se consideran diplomáticos. Desafortunadamente, solo consiguen que los demás se burlen.;;;;;;;;;x
underhanded_rogue;Underhanded Rogue;Escroc sournois;Hinterlistiger Schurke;;Truhán artero;;;;;;;;;x
underhanded_rogue_desc;The Underhanded Rogue is a rough but decently effective diplomat.;Ce personnage manque de finesse, mais est généralement utile en tant que diplomate.;Der hinterlistige Schurke ist ein grober, aber gar nicht ineffizienter Diplomat.;;El truhán artero es un diplomático decente, aunque sin pulir.;;;;;;;;;x
charismatic_negotiator;Charismatic Negotiator;Négociateur charismatique;Charismatischer Verhandlungsführer;;Negociador carismático;;;;;;;;;x
charismatic_negotiator_desc;The Charismatic Negotiator is an excellent diplomat, impressing dignitaries with elegant dress and persuasive rhetoric.;Ce personnage est un excellent diplomate qui impressionne les dignitaires par sa rhétorique persuasive et son élégance vestimentaire.;Der charismatische Verhandlungsführer ist ein hervorragender Diplomat. Er beeindruckt Würdenträger mit eleganter Kleidung und überzeugender Rhetorik.;;El negociador carismático es un diplomático excelente e impresiona a los dignatarios con sus elegantes trajes y su persuasiva retórica.;;;;;;;;;x
grey_eminence;Grey Eminence;Éminence grise;Graue Eminenz;;Eminencia gris;;;;;;;;;x
grey_eminence_desc;The Grey Eminence is the epitome of statesmanship having fully mastered the art of diplomacy.;Ce personnage est un fin politicien doublé d’un expert en diplomatie.;Die graue Eminenz ist der Inbegriff der Staatskunst und beherrscht die Kunst der Diplomatie bis ins letzte Detail.;;Una eminencia gris es el modelo ideal de político que domina el arte de la diplomacia.;;;;;;;;;x
indulgent_wastrel;Indulgent Wastrel;Vaurien indulgent;Ausschweifender Verschwender;;Derrochador indulgente;;;;;;;;;x
indulgent_wastrel_desc;The Indulgent Wastrel was groomed to become good with money, and if good means spending it quickly, the Indulgent Wastrel certainly is.;Ce personnage a reçu une éducation axée sur l’administration, mais n’a rien appris. La seule chose qu’il sache faire avec l’argent, c’est le dilapider.;Der gute Umgang mit Geld wurde dem ausschweifenden Verschwender in die Wiege gelegt. Wenn 'gut' bedeutet, es schnell auszugeben, dann ist er ein Meister seines Faches.;;El derrochador indulgente es un especialista en manejar bien el dinero, y si por bien entendemos gastarlo rápidamente, este personaje cumple su cometido.;;;;;;;;;x
thrifty_clerk;Thrifty Clerk;Employé économe;Geiziger Kaufmann;;Auxiliar ahorrativo;;;;;;;;;x
